"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 14:15:55 CST 2026","Tue Mar 03 14:15:55 CST 2026","187","testcase.test_user","test_user_api","TestUserAPI","","","test_password_reset[TC-AUTH-030_\u5bc6\u7801\u4e3a\u7a7a]","测试密码重置申请接口的各种场景"
"passed","Tue Mar 03 14:15:29 CST 2026","Tue Mar 03 14:15:29 CST 2026","59","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-004_\u91d1\u989d\u5927\u4e8e9999]","测试用户充值接口的各种场景"
"passed","Tue Mar 03 14:15:46 CST 2026","Tue Mar 03 14:15:47 CST 2026","125","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-006_\u5bc6\u7801\u5b57\u6bb5\u503c\u4e3a\u7a7a]","测试用户登录接口的各种场景"
"failed","Tue Mar 03 14:15:41 CST 2026","Tue Mar 03 14:15:42 CST 2026","644","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-023_\u672a\u767b\u5f55\u7528\u6237]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 14:15:46 CST 2026","Tue Mar 03 14:15:46 CST 2026","119","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-004_\u8eab\u4efd\u5b57\u6bb5\u503c\u4e3a\u7a7a]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 14:15:28 CST 2026","Tue Mar 03 14:15:29 CST 2026","111","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-003_\u91d1\u989d\u5c0f\u4e8e0.01]","测试用户充值接口的各种场景"
"failed","Tue Mar 03 14:13:44 CST 2026","Tue Mar 03 14:13:44 CST 2026","328","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_list[TC-WISH-003_\u83b7\u53d6\u88ab\u62d2\u7edd\u5fc3\u613f\u5217\u8868]","测试管理员获取心愿管理数据"
"passed","Tue Mar 03 14:13:58 CST 2026","Tue Mar 03 14:13:59 CST 2026","1193","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-024_response_content\u4e3a\u7a7a]","测试管理员审核申诉的各种场景"
"passed","Tue Mar 03 14:15:38 CST 2026","Tue Mar 03 14:15:39 CST 2026","1698","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-019_\u5df2\u4e0a\u67b6\u5546\u54c1\u7b5b\u9009]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 14:13:47 CST 2026","Tue Mar 03 14:13:47 CST 2026","132","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-006_\u64cd\u4f5c\u4e0d\u5b58\u5728\u7684\u5fc3\u613f]","测试管理员审核心愿的各种场景"
"passed","Tue Mar 03 14:15:36 CST 2026","Tue Mar 03 14:15:37 CST 2026","544","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-017_\u6210\u529f\u83b7\u53d6]","测试获取我发布的商品列表接口"
